feature,importance
mttr_hours,0.10733162296785606
dynamic_range_db,0.09777179671108296
splice_loss_max,0.09773858953606664
alarm_type,0.07376881234386147
severity,0.0585764368702783
fiber_status,0.057322394788909894
route_status,0.045991037436113054
alarm_status,0.04570587083892092
splice_end_ratio,0.04566442820272376
end_loss_db,0.03713797839964175
otdr_avail,0.03579447421177177
checksum_int,0.03538871641118133
total_loss_db,0.03274508333775829
rtu_status,0.031256045764417026
temperature_c,0.027041762534388173
att_per_km,0.026712730973140433
attenuation_db,0.0248741699198964
test_result,0.02427564691889136
refl_loss_min,0.024238204483831308
orl_db,0.02288591647322729
refl_abs,0.020112560141581082
noise_floor,0.016123511348958095
orl_per_km,0.0032015069497281948
range_km,0.0022084815121408406
length_km,0.0018803148632805138
slope_avg_db_km,0.0008304127782388257
power_supply,0.0007244960100932187
num_events,0.0007033007296345841
event_density,0.0006468194802558709
wavelength_nm,0.0004681152785641541
resolution_m,0.0001709447233433101
slope_deviation,0.0001681448307412806
index_refraction,0.0001678826207134548
num_averages,7.692120749392032e-05
user_offset_m,5.280155288360472e-05
pulse_width_ns,5.2658790292051584e-05
supplier,5.1017847195338754e-05
fiber_type,4.681148609542705e-05
num_data_points,4.358114679318483e-05
test_mode,2.6910171149280456e-05
build_condition,2.1087406865574052e-05
