feature,importance
splice_loss_max,0.20671176228188984
splice_end_ratio,0.19245203443557693
checksum_int,0.1188842603424825
temperature_c,0.11405320444063925
orl_db,0.09143357549188183
refl_loss_min,0.08121634616024047
refl_abs,0.06604564943437029
att_per_km,0.05108191681698039
end_loss_db,0.033218400341119676
dynamic_range_db,0.017501978595986966
total_loss_db,0.011980399377950361
attenuation_db,0.011401254048984849
orl_per_km,0.0012842818485518303
noise_floor,0.0009637516489558513
length_km,0.00046304701740807505
range_km,0.0003898821020599859
event_density,0.00017278959604302913
slope_avg_db_km,0.0001703345356299028
num_events,0.000169864540409551
wavelength_nm,0.00011851504912043758
resolution_m,6.304841894998387e-05
slope_deviation,5.359899516391335e-05
index_refraction,5.313031552095867e-05
num_averages,2.1450245663594308e-05
supplier,2.002286701424594e-05
pulse_width_ns,1.984493164370092e-05
num_data_points,1.7789745122885432e-05
user_offset_m,1.3913310732910255e-05
fiber_type,1.0983238733872592e-05
test_mode,7.439509606711923e-06
build_condition,5.530315565335172e-06
